"Sp","Latitude","Altitude","Rainfall","Frosts","Year","PMCno","DBH","Ht","Surv","Vig","Ins_res","Stem_Fm","Crown_Fm","Brnch_Fm","Utility"
"te",-39.7166666666667,150,900,-2,1986,3275,17.35,6.51,48.0855329542852,2.84145170400522,2.71474454782756,2.74345350680488,2.97528863798585,2.64550124775678,"0"
"ob",-40.1833333333333,130,1000,-3,1980,1522,21.6,12,40,4,3.7,3.5,3.5,3,"1"
"nd",-40.95,180,1080,-3,1982,2635,5.86,4.36,75,3,3,3,4,3,"0"
"pu",-40.95,180,1080,-3,1983,2573,1.48,2.96,13,1,3,3,3,3,"0"
"cr",-41.1333333333333,220,1050,-2,1983,1252,10.36,7.54,100,2.7,3,2,2,2,"0"
"nd",-40.6,150,1250,-3,1983,1596,15.02,9.92,100,3.5,4,2.7,4,2.5,"1"
"fa",-40,150,1300,-2,1983,2548,35.54,13.02,20,3.2,3.5,2.5,2.5,2.3,"1"
"ra",-39.7166666666667,150,900,-2,1986,1825,17.5,7.99,56.8913559764557,2.88728612567342,2.72491234827878,2.80536327757563,3.00438192687174,2.68283300959135,"0"
"fa",-40.95,180,1080,-3,1981,2548,13.04,9.36,55,4,4,3,2.5,2,"1"
"co",-40.1833333333333,130,1000,-3,1980,1520,10.1,8.2,60,3,4,3.5,3.5,3.2,"0"
"pu",-40.95,180,1080,-3,1981,1598,7.94,7.77,100,3.5,4,2.5,4,3.3,"1"
"am",-40.6,150,1250,-3,1983,2560,18.59,8.26,13,2.5,3.5,2,2,2,"0"
"pu",-40.1833333333333,130,1000,-3,1980,1523,12.7,9.3,80,2.9,4,3.2,3.9,3.4,"1"
"cr",-40.6,150,1250,-3,1983,1252,15.35,11.87,75,2.9,2.7,2.5,3,2.5,"0"
"ni",-40.95,180,1080,-3,1983,2568,9.13,7.02,13,2.8,2.5,3,3,2.5,"0"
"nd",-40,150,1300,-2,1983,2635,32.5,14.57,10,2.7,3,3,4,3,"1"
"ob",-40,150,1300,-2,1983,1522,33.16,14.75,40,3.7,3.5,3.6,3.6,2.9,"1"
"ob",-39.8333333333333,70,1000,-2,1981,2459,23.7,13.3,88,5,3,3.5,3.5,2.5,"1"
"ob",-40.6,150,1250,-3,1983,2570,17.59,12.2,50,3,2.7,3,3.5,2.7,"0"
"nd",-40,150,1300,-2,1983,2635,30.75,14.57,20,3.8,4,3.5,4,2.9,"1"
"fa",-40.95,180,1080,-3,1983,2548,16.25,13.29,13,3,4,4,3.5,3,"0"
"ni",-40.1833333333333,130,1000,-3,1980,2088,19.1,9.7,60,3.7,3,2,2,1.5,"1"
"br",-39.8333333333333,70,1000,-2,1981,1112,11.9,9.7,100,2.3,1.8,3,3.5,3.2,"0"
"nd",-40.95,180,1080,-3,1982,2569,19.44,15.38,75,4.5,3.5,3.5,4,3,"1"
"re",-40.95,180,1080,-3,1981,2428,5.16,5.86,75,4,3,4,4,4,"1"
"ov",-40.95,180,1080,-3,1983,1788,5.35,5.9,25,2,1.8,2,2.5,3,"0"
"ka",-41.2,160,1000,-3,1981,1171,8.6,8.9,100,3,2.5,2.8,3,2.8,"0"
"fa",-40.95,180,1080,-3,1981,2426,17.42,9.01,45,4.5,4.5,3,2,1.5,"1"
"ni",-40,150,1300,-2,1983,2568,52.76,21,50,4.5,2.7,3.9,3.4,2.6,"1"
"el",-41.2666666666667,300,1200,-3,1982,2638,1.27,1.74,50,1,3,2,3,3,"0"
"bxs",-40.95,180,1080,-3,1981,1111,4.88,4.11,88,3.5,2.5,2,2,2,"0"
"fr",-40.95,180,1080,-3,1981,1786,6.05,5.39,88,4,4,3.5,3.5,3.5,"1"
"ov",-39.6333333333333,100,850,-2,1980,1521,10.22,8.32,100,3,1.8,3,3,3,"0"
"am",-41.1333333333333,220,1050,-2,1983,2560,21.27,9.13,88,3.3,3.5,2.5,3.3,3,"1"
"fa",-41.2666666666667,300,1200,-3,1982,2426,16.69,9.48,50,4,3,4,4,3,"1"
"br",-41.2,160,1000,-3,1981,1112,4,3.2,63,2,1.5,3,3,3,"0"
"am",-40,150,1300,-2,1983,1592,34.11,16.48,20,3.5,3.8,3.2,3.9,2.5,"1"
"pa",-40.95,180,1080,-3,1983,2750,1.38,1.53,13,1,1,3,3,3,"0"
"am",-39.7166666666667,150,900,-2,1986,3268,18.01,3.26,48.127807212428,2.84166247223907,2.71478384726364,2.74374211285213,2.97541823094937,2.64567173203785,"0"
"pu",-41.2,160,1000,-3,1981,1598,13.6,7.3,38,3,3,2,2.5,2,"0"
"ob",-40,150,1300,-2,1983,2570,35.4,14.05,10,3,3,3.3,3.5,3,"1"
"ka",-41.2,160,1000,-3,1981,1171,3.5,2.9,75,1,1,3,3,3,"0"
"re",-40.6,150,1250,-3,1983,2553,23.53,21.06,50,4.5,3.5,3.3,3.2,2.8,"1"
"re",-40.95,180,1080,-3,1981,2431,3.35,5.16,100,3,3,4.5,4,4,"1"
"ra",-39.7166666666667,150,900,-2,1986,1257,21.27,9.72,60.3414121877688,2.90526909190731,2.72892206317996,2.82964262683149,3.01580804760684,2.69748323221174,"0"
"ka",-40.95,180,1080,-3,1982,1171,6.97,8.95,75,2,2,3,3,3,"0"
"sm",-39.8333333333333,70,1000,-2,1981,1340,9.3,4.3,63,1,1.2,1,1,1,"0"
"bxs",-41.2666666666667,300,1200,-3,1982,1111,10.99,7.2,100,2,3,3,3,3,"0"
"rd",-39,200,1400,-2,1980,1524,12.79,8.82,66.554654383243,2.5,3,3.3,4,4,"0"
"nd",-41.2666666666667,300,1200,-3,1982,1595,15.69,8.95,100,3,3,4,4,3,"1"
"ob",-41.2,160,1000,-3,1981,1337,17.1,12.1,5,3,3.5,3,3,4,"0"
"ov",-39,200,1400,-2,1980,1521,9.99,7.49,66.5722989468678,2,2,3,4,4,"0"
"re",-40.95,180,1080,-3,1981,2550,15.37,10.82,13,3,2.7,3.5,3.5,3,"0"
"fr",-39,200,1400,-2,1980,1487,3.072,9.93,66.777979708669,3,4,2,2,1,"1"
"pu",-39.7166666666667,150,900,-2,1986,3272,26.63,11.4,48.1054587594536,2.84162688156168,2.71484089595601,2.74365993588866,2.97543214616984,2.64565306178314,"0"
"ob",-40.1833333333333,130,1000,-3,1980,1522,15.5,9.8,40,4,3.5,3.5,3.5,3,"1"
"nd",-39.7166666666667,150,900,-2,1986,1596,32.88,14.98,58.2847611463502,2.89465178020189,2.72663719806713,2.81526454460084,3.00910833832881,2.6888467121271,"0"
"ov",-40.6,150,1250,-3,1983,2571,22.03,19.34,50,4,2.5,3.3,3.3,3,"1"
"el",-40.95,180,1080,-3,1981,1338,7.28,7.45,63,4,3,3.3,3.3,3,"1"
"fa",-41.1333333333333,220,1050,-2,1983,1482,22.38,8.74,100,3.7,3,3.2,3.3,2.6,"1"
"re",-41.2666666666667,300,1200,-3,1982,1352,17.95,13.09,75,4,3,4,3.5,3,"1"
"co",-40.6,150,1250,-3,1983,2562,18.81,19.09,75,3,3,3.5,4,3,"1"
"ka",-40.95,180,1080,-3,1981,1171,13.6262609457055,8.55812928868876,63.6299557019666,2.5,2,1,1,1,"0"
"fr",-39.8333333333333,70,1000,-2,1981,1786,17,15.3,75,4.7,4,3.5,4,4,"1"
"rd",-41.2666666666667,300,1200,-3,1982,2575,9.84,5.67,100,1.5,1.5,2,2,2,"0"
"pu",-40.6,150,1250,-3,1983,2573,23.29,17.74,75,3,3,3,3.5,2.5,"1"
"si",-39.6333333333333,100,850,-2,1980,1525,14.75,7.79,30,4,4,4,2.5,2,"1"
"fa",-41.2,160,1000,-3,1981,1482,7.8,5.6,88,3,3,2,2,2,"1"
"ka",-41.2666666666667,300,1200,-3,1982,2631,5.75,4.6,25,2,2,3,3,3,"0"
"bxs",-41.2666666666667,300,1200,-3,1982,1111,18.99,10.73,75,3,3,3.5,3,3,"1"
"ma",-39.6333333333333,100,850,-2,1980,1362,8.99,6.05,60,2.5,3,3,4,4,"0"
"ob",-40.95,180,1080,-3,1983,2458,2.11,3.1,38,1.3,3,3,3,3,"0"
"bxs",-40.95,180,1080,-3,1982,1111,9.65,6.24,25,2.8,3,3,3,2.5,"0"
"fa",-39.8333333333333,70,1000,-2,1981,1482,15.5,10.5,50,3,3.3,3.3,3,3,"1"
"ov",-40.6,150,1250,-3,1983,2571,19.67,20.14,50,3,2,3.3,3.7,4,"1"
"ra",-39.7166666666667,150,900,-2,1986,1257,26.18,11.96,60.3422809806689,2.90531005000347,2.72896045934125,2.82968255856968,3.01585052144769,2.69752124892489,"0"
"nc",-40.95,180,1080,-3,1981,1780,3.51,4.68,25,1.5,1.5,2,2,3,"0"
"pu",-39.7166666666667,150,900,-2,1986,3273,10.1,4.32,48.0965068067147,2.8414594614389,2.71470656091183,2.74348483650719,2.97527124146375,2.64550125749884,"0"
"re",-39.8333333333333,70,1000,-2,1981,2431,26,14,88,5,3.5,3.5,4,3.3,"1"
"br",-41.2666666666667,300,1200,-3,1982,2621,7.64,6.72,100,3.5,2,2,2,2,"0"
"re",-39.8333333333333,70,1000,-2,1981,2428,22.6,13.4,100,5,3,2.3,2.7,2,"1"
"ob",-39.6333333333333,100,850,-2,1980,1522,16.13,9.95,50,4.3,4.5,3.3,3.5,3,"1"
